Transaction Hash,Expected Output,Model Output
0x67352f3a1cd68acda67ad78c03ab6a1b7b4794b6bc1e1c4de202ee0d95f425cf,Transfer,Transfer
0xce6958047728a9437aa6912aa275730f7aaebfd7e7e4fa6894971cbe598abf8a,Revoked,Revoked
0xf1ab2490b77e259219b6193a5f1500e4a0e0b3d250625adf81283ced647ff58f,Approved,Revoked
0xf897c3cfedca8d242637e701704dade350c5eb6011e12c40012613cceb780655,Transfer,Transfer
0x830dba1ee1dcd226b70f80896ba5a50db2cdb42908c98a5bd0e048d9388399e7,Approved,Revoked
0x4806b503d34c314a755c58af16d505714193d1f0a7fc6a902c9e87694e0e51c0,Deposit,Deposit
0x62e6da1348ac5d2b25a4ac0c3e5b0c511f899303a9fa7b3912c2886ffe8d31af,Approved,Revoked
0x221195d4ad8898b844883798c6c810436c0a6444fc41e174a030c91cf9b29e05,Swap,Swap
0xaf91633041b2ac25b0cde469ad62afabcbf59d9c84e1187d8bec624024345af9,Sale,Sale
0xbb591db6bf15355cd5208e006150ae5086d027c8ba7cb48a58ecc039ab4e1d4e,Transfer,Transfer
0xc610db0efd12d2a29b605a56766f59e0b92a04556e20d1288b3180f12dd6695c,Transfer,Transfer
0x5f0d510fe2e4bd47645dfde412a58ea60bfe6ca504deb4364325a9a2a2d031aa,Sale,Sale
0x48dcb2004cab5ccd7eafb54cf4f0754e1d9ce4ced8a7d99d536649b474d1c697,Transfer,Transfer
0x293b9b1b634f8a02fea6dded8442cb711df52f1d2aec17230f16a3c805e127d7,Swap,Swap
0x429cba6d4072d62f61b82b9a3dfe7bbda81991f795406edce4a12b6b78787adf,Mint,Mint
0x2d96c645c0506d70edf9157a1a1f727398a9cc8fad01d3fbeb23d6da6730eb27,Sale,Sale
0x10c66ffd25c2157303b03f3d872913949575807eef5a7fd6588003d71f85ab9b,Transfer,Transfer
0x1b09e4e28b6656b779e2b2ee905f30e0c728480e8799ece7bb02c8e774b36892,Approved,Revoked
0x0c161903170e274a22d07f0a9a299cdd953bac5cbc54b2f6fc127d46589d54ce,Transfer,Transfer
